#Virtual Template Bank
#Produced in January 2023 by Florian Aubin, using the Hybrid Code and the L1 expected O4 PSD
#Sorted by HF, and then LF, durations and formatted by Florian Aubin
#BNS (Mtot < 4) minimal match: 0.98, BBH seed (Q < 3) minimal match: 0.98, Full bank minimal match: 0.965
#Here are all the VTs that must be run on 1 band. The selection criteria are: peak frequency of the VT OR the RT LF < 80 Hz, OR RT HF duration < 20 ms. It is advised to run these VTs with a larger autochi2 window (~300 ms)
!id m1 m2 spin1z spin2z duration fpeak fRD
189 35.070685 1.042132 -0.915621 0.0 19.0426600193 199.995803418 274.359620027
190 35.29046 1.033401 -0.919994 0.0 19.0386356004 198.543036864 272.399036523
191 35.507052 1.024684 -0.924752 0.0 19.0361068522 197.108237462 270.467604158
192 35.715408 1.016012 -0.930283 0.0 19.0352902507 195.700647842 268.581980949
193 35.920035 1.007344 -0.936243 0.0 19.0347798877 194.310309042 266.724562987
194 37.887479 1.003406 -0.736702 0.0 19.0329472227 193.246059346 263.362091169
195 39.495174 1.001109 -0.587478 0.0 19.0316179875 192.427379385 261.105528399
196 35.566393 1.047763 -0.844251 0.0 19.0123046099 200.570603903 274.434860653
197 35.490733 1.036474 -0.892887 0.0 19.0030037336 198.688486944 272.322743008
198 35.29319 1.016153 -0.986526 0.0 18.9946404053 195.456981753 268.848730631
199 35.510988 1.007045 -0.991815 0.0 18.9939049754 194.014532854 266.912762697
200 39.023523 1.003065 -0.636636 0.0 18.9696318313 192.342269659 261.336155107
201 35.349006 1.036187 -0.917625 0.0 18.9643905631 198.324935775 272.076421162
202 35.566887 1.027453 -0.922304 0.0 18.9617660775 196.890196753 270.14406066
203 35.776303 1.018767 -0.927768 0.0 18.9605136378 195.483327029 268.258591307
204 35.981513 1.010092 -0.933689 0.0 18.9595442796 194.094999146 266.403484436
205 36.186345 1.001368 -0.939844 0.0 18.9588450486 192.71421012 264.5610015
206 37.971361 1.00577 -0.733511 0.0 18.958747475 192.970059834 262.960143991
207 39.597806 1.003172 -0.58395 0.0 18.9584227568 192.101418213 260.64027176
208 38.71296 1.000342 -0.680542 0.0 18.9422726585 191.768411387 260.88039187
209 35.881093 1.033479 -0.873063 0.0 18.9241544571 197.450499105 270.41869659
210 35.565663 1.009932 -0.989533 0.0 18.9182749699 193.819574564 266.620683801
211 35.78284 1.000784 -0.995085 0.0 18.917884811 192.389754008 264.7049994
212 39.125494 1.005169 -0.632946 0.0 18.8957524558 192.019168787 260.870890102
213 38.976296 1.013107 -0.621983 0.0 18.8917125564 193.28400592 262.530517298
214 35.408133 1.03899 -0.915232 0.0 18.8901568277 198.105524512 271.751919806
215 35.627246 1.030239 -0.919837 0.0 18.8873965781 196.6709818 269.818859159
216 35.83771 1.021539 -0.925235 0.0 18.8856538387 195.264893672 267.933612002
217 38.228028 1.000105 -0.739282 0.0 18.8854588201 191.404683933 260.859282093
218 39.701249 1.005247 -0.580407 0.0 18.8852982865 191.774286846 260.173561276
219 38.056418 1.008141 -0.730279 0.0 18.8845383175 192.691495027 262.554544881
220 36.043527 1.012858 -0.931116 0.0 18.8842148298 193.878520919 266.080700067
221 36.248689 1.00413 -0.937247 0.0 18.8831249384 192.500428158 264.24163007
222 38.812342 1.002504 -0.676814 0.0 18.8679648453 191.454836761 260.425521094
223 38.652655 1.010245 -0.667174 0.0 18.8672958375 192.705477392 262.07078657
224 35.94384 1.036228 -0.870578 0.0 18.84995725 197.222299067 270.082872414
225 35.621305 1.012831 -0.987204 0.0 18.8426294267 193.622154387 266.324822772
226 35.838729 1.003678 -0.992737 0.0 18.8418317245 192.19511777 264.41260821
227 39.228312 1.007284 -0.629239 0.0 18.8218842337 191.694770294 260.404000958
228 39.078211 1.015226 -0.618342 0.0 18.8181416114 192.957232082 262.061421068
229 35.467849 1.041808 -0.912817 0.0 18.8159677829 197.884685679 271.425388058
230 35.688139 1.033042 -0.917351 0.0 18.8129286809 196.450556028 269.491962606
231 38.316596 1.002457 -0.735876 0.0 18.8110575606 191.121762838 260.446075203
232 35.899647 1.024329 -0.922684 0.0 18.8106907226 195.045267959 267.606947436
233 38.142683 1.010518 -0.727004 0.0 18.8103477063 192.410346187 262.1452564
234 36.106079 1.015641 -0.928524 0.0 18.8088177931 193.660882062 265.756230124
235 36.311609 1.006909 -0.93463 0.0 18.8073359735 192.285350717 263.920388818
236 38.912883 1.004673 -0.673053 0.0 18.7936008508 191.139074796 259.967654278
237 38.752193 1.012419 -0.663479 0.0 18.7932517112 192.387773591 261.611190274
238 36.007249 1.038992 -0.868068 0.0 18.7756732662 196.992558867 269.74481521
239 35.677889 1.015741 -0.984828 0.0 18.7669372142 193.422441386 266.025410933
240 35.895063 1.006589 -0.990378 0.0 18.7657547646 191.999286982 264.11859546
241 39.48868 1.001434 -0.635956 0.0 18.7514825564 190.112373032 258.283525627
242 39.331961 1.009413 -0.625517 0.0 18.7479951508 191.369092146 259.935535152
243 39.180954 1.017357 -0.614686 0.0 18.7445840053 192.629155901 261.590709595
